Input45.out0 CGRA.IB9.out0
Input6 CGRA.IB8
Input6.out0 CGRA.IB8.out0
Input44 CGRA.IB1
Input44.out0 CGRA.IB1.out0
Input4.out0 CGRA.IB13.out0
Input46 CGRA.IB11
Input43 CGRA.IB10
Input7 CGRA.IB4
Input40 CGRA.IB0
Input45 CGRA.IB9
MUL11.in0 CGRA.PE7.ALU0.in0
MUL11.out0 CGRA.PE7.ALU0.out0
Input5 CGRA.IB5
MUL10 CGRA.PE6.ALU0
MUL9.in1 CGRA.PE5.ALU0.in1
ADD18.in0 CGRA.PE8.ALU0.in0
MUL8 CGRA.PE4.ALU0
MUL15 CGRA.PE2.ALU0
ADD36.in1 CGRA.PE14.ALU0.in1
ADD18.out0 CGRA.PE8.ALU0.out0
MUL15.in1 CGRA.PE2.ALU0.in1
MUL10.out0 CGRA.PE6.ALU0.out0
ADD19.in1 CGRA.PE9.ALU0.in1
MUL9 CGRA.PE5.ALU0
Input3.out0 CGRA.IB14.out0
MUL11 CGRA.PE7.ALU0
MUL14.out0 CGRA.PE3.ALU0.out0
MUL8.in1 CGRA.PE4.ALU0.in1
Input43.out0 CGRA.IB10.out0
ADD21.in1 CGRA.PE12.ALU0.in1
Input4 CGRA.IB13
MUL8.in0 CGRA.PE4.ALU0.in0
ADD18 CGRA.PE8.ALU0
MUL15.in0 CGRA.PE2.ALU0.in0
Output0 CGRA.OB6
MUL10.in1 CGRA.PE6.ALU0.in1
MUL14 CGRA.PE3.ALU0
ADD21.in0 CGRA.PE12.ALU0.in0
Input7.out0 CGRA.IB4.out0
Input0 CGRA.IB12
ADD16.out0 CGRA.PE10.ALU0.out0
Input2.out0 CGRA.IB3.out0
MUL13.in0 CGRA.PE0.ALU0.in0
Output0.in0 CGRA.OB6.in0
MUL12.out0 CGRA.PE1.ALU0.out0
MUL13.out0 CGRA.PE0.ALU0.out0
MUL11.in1 CGRA.PE7.ALU0.in1
MUL13.in1 CGRA.PE0.ALU0.in1
MUL12.in1 CGRA.PE1.ALU0.in1
ADD20.out0 CGRA.PE13.ALU0.out0
MUL14.in0 CGRA.PE3.ALU0.in0
ADD36.out0 CGRA.PE14.ALU0.out0
Input46.out0 CGRA.IB11.out0
ADD18.in1 CGRA.PE8.ALU0.in1
MUL12 CGRA.PE1.ALU0
MUL9.out0 CGRA.PE5.ALU0.out0
ADD19.out0 CGRA.PE9.ALU0.out0
Output0.out0 CGRA.OB6.out0
MUL14.in1 CGRA.PE3.ALU0.in1
ADD16 CGRA.PE10.ALU0
MUL13 CGRA.PE0.ALU0
MUL15.out0 CGRA.PE2.ALU0.out0
ADD21.out0 CGRA.PE12.ALU0.out0
ADD19.in0 CGRA.PE9.ALU0.in0
Input42.out0 CGRA.IB7.out0
ADD16.in1 CGRA.PE10.ALU0.in1
Input47 CGRA.IB2
ADD16.in0 CGRA.PE10.ALU0.in0
ADD17.in1 CGRA.PE11.ALU0.in1
ADD17.out0 CGRA.PE11.ALU0.out0
MUL8.out0 CGRA.PE4.ALU0.out0
MUL12.in0 CGRA.PE1.ALU0.in0
ADD17.in0 CGRA.PE11.ALU0.in0
Input3 CGRA.IB14
Input1 CGRA.IB6
ADD17 CGRA.PE11.ALU0
ADD21 CGRA.PE12.ALU0
ADD36 CGRA.PE14.ALU0
ADD20.in1 CGRA.PE13.ALU0.in1
ADD36.in0 CGRA.PE14.ALU0.in0
Input0.out0 CGRA.IB12.out0
ADD19 CGRA.PE9.ALU0
Input41.out0 CGRA.IB15.out0
Input41 CGRA.IB15
ADD20.in0 CGRA.PE13.ALU0.in0
Input2 CGRA.IB3
Input5.out0 CGRA.IB5.out0
ADD20 CGRA.PE13.ALU0
Input47.out0 CGRA.IB2.out0
MUL10.in0 CGRA.PE6.ALU0.in0
MUL9.in0 CGRA.PE5.ALU0.in0
Input42 CGRA.IB7
Input1.out0 CGRA.IB6.out0
Input40.out0 CGRA.IB0.out0
